case_name,AR,Lambda_c_4,c_r_extension_factor,D_f,twist_r,delta_twist_k,delta_twist_t,alpha,beta,drag,lift,side_force,pressure_drag,viscous_drag,pressure_lift,pressure_side_force,Cd,Cl,pitching_moment,Cm,Cf,L_D_ratio,Cl2_over_pi_AR,mahal_dist
geo-4d7d8354-b03b-4cea-933d-3b0e871c7100,9.0283,37.4723,1.2858,245.7377,7.3942,-4.6006,-2.5404,0.6786,0,127528.29841542253,2672220.0883345134,9.129576737537777,87789.44212757733,39738.85629,2673739.887371316,9.724812985021885,0.026281162,0.5506938458485273,-12331088.05,-0.314145093,0.008189381,20.953938235965342,0.010692138897065837,2.771227316646471
geo-4da0c3ec-e87e-48b4-b877-5f13adda2daf,10.5981,29.0317,1.029,248.961,8.0111,-5.6957,-7.2154,2.1017,0,194097.3868019808,2592325.9589186227,41.19331587086312,155944.91965256384,38152.46714941725,2596156.509425496,41.59621783514851,0.042946892,0.5735901113191437,-4085817.004,-0.134864899,0.008443497,13.355800413548737,0.009881558,1.949598098898509
geo-4dd26125-5aeb-4f85-b8d4-7b89da53301d,10.0958,25.3685,1.2591,249.8148,5.6985,-3.0391,-4.5222,0.2806,0,147942.7322947553,2242856.888,643.9087873395073,108654.99713819352,39287.73515656188,2243420.151750964,646.2350957737534,0.030707899,0.4655411060732859,-7523721.198,-0.206812432,0.00815476,15.160304623270417,0.006833221,0.9000301365825727
geo-4ddcf163-ead9-4e7a-8346-e459144d11ce,8.6926,27.4565,1.1056,241.3108,8.4548,-5.7371,-1.6066,0.4385,0,186209.26517833865,2566576.6378695485,302.7522633510419,148646.50017140884,37562.76500692925,2567811.7954503265,304.5102127,0.040321244,0.555759466,-7793257.841,-0.223348896,0.008133695,13.783291800284278,0.011310301137761769,0.7336617915095403
geo-4de989a8-da9b-4be5-91b8-ae97f8254d10,10.6236,25.966,1.0446,256.7982,7.6868,-3.8675,-1.9495,3.9698,0,536758.9175330445,3579321.061956841,456.4973407013792,501102.00829045946,35656.90924258448,3605669.0570502514,452.1248561398136,0.1182594836468527,0.7886010772559958,-4267927.107,-0.141655011,0.007855939,6.668396080697612,0.018633444709009836,4.449956706286948
geo-4dfa29e3-9474-4efc-8905-58b87a603c6a,8.9081,36.2025,1.2512,250.9345,8.8336,-4.4779,-2.7533,1.6472,0,313099.6286542441,3360240.065811081,-475.7303484,276118.8979484377,36980.73070580665,3367364.4691166934,-475.409104,0.065127743,0.6989623451862761,-10908929.45,-0.283361355,0.007692308,10.732175187348377,0.01745712,1.8033992319164147
geo-4e0380bf-ecab-4ca0-856f-daeb259a0c7e,10.5121,36.1459,1.1656,246.7912,4.1951,-3.2802,-4.312,2.4711,0,108101.33485916127,2481700.496055404,330.6972919560706,68079.15964626551,40022.17521289586,2482853.3007465643,332.95385183861663,0.023014313,0.5283434438431552,-8146613.459,-0.241346843,0.008522271,22.957167913686337,0.008452658,1.5178940372201524
geo-4e15a253-14f2-416d-9829-9c49111abbce,10.3013,27.4868,1.0946,242.7104,3.5388,-6.6546,-5.2793,2.4566,0,66089.81635685425,603433.9383,109.06302225285008,26353.91062488409,39735.90573,604163.0390038167,111.48160454301424,0.014352396,0.131044741,77191.43711489359,0.002389517,0.008630991,9.130513164986725,0.000530637,2.112271872
geo-4e17bd50-8abe-4c6d-a713-8498d04678e4,7.9549,28.6366,1.0222,256.0364,4.5881,-3.5218,-4.9288,3.8047,0,227622.26697514244,2777652.836622542,-10.22057605,189643.61895031636,37978.64802482629,2784353.505470574,-8.777530578,0.050463513,0.6158014383228443,-4441418.748,-0.127671663,0.008421509,12.202904722523762,0.015173885431019248,2.407811931630075
geo-4e3b9191-be7e-4d50-85b6-9feb62b1698b,9.2365,26.9208,1.2375,247.2159,7.2403,-5.0041,-1.8824,0.2181,0,152576.51145582867,2408469.0106563023,1909.833278,113695.97537441518,38880.53608,2409130.293358248,1911.014150454872,0.03184883,0.5027439596062968,-8778333.274,-0.230832249,0.008117564,15.785319690924746,0.008710366,1.1855548282165027
geo-4e590f1e-96cd-4876-b8f1-c997755d0fe6,10.9961,34.1443,1.0707,248.7394,6.3576,-3.8493,-1.8333,3.2455,0,301820.1162216848,3110722.882864449,-640.3781633,265535.9889743874,36284.12724729791,3120907.710252678,-629.7135072,0.066003901,0.6802722354324396,-5855482.338,-0.19383068,0.007934797,10.30654590491126,0.013396055517333342,1.5551802682718567
geo-4e927627-363c-4e67-9dbd-0a37b895a369,8.5995,30.6697,1.2741,246.9149,8.743,-5.8008,-4.3729,1.449,0,216325.5603,2880113.459599609,-345.8744183,178785.75428715863,37539.80597215142,2884065.860966376,-343.663114,0.04471154,0.595280139,-10022683.43,-0.247367168,0.007760532,13.313791750485734,0.013116552814571754,1.0677588584546989
geo-4eb13815-50f5-465e-baa0-44d4a037291c,8.997,32.4336,1.0438,241.6826,3.4742,-6.2842,-7.4011,3.0472,0,66470.29826,809327.8774916631,44.29540787484935,26939.51654973865,39530.78171,809840.1996712595,47.72668258590803,0.014645153,0.1783161950317417,496793.8195606277,0.014939425,0.008711428,12.175782246828705,0.001124952,2.554065489
geo-4f102711-3f0e-4631-a57e-c96bca0d657c,10.7106,26.3931,1.3364,247.5435,6.4105,-4.8459,-6.984,0.4736,0,109886.12522108768,1724648.481328132,1335.220487,70387.50432516189,39498.62089592546,1725180.154583989,1337.4622339067057,0.022337868,0.3505899329380914,-5531444.787,-0.145386247,0.008030979,15.694870283743278,0.003652878,0.6695604387023272
geo-4f7d29d5-2acc-4321-bafe-aacefe9ac3e3,9.9322,34.0006,1.0906,245.3551,8.0486,-5.242,-2.5889,1.4999,0,203495.77628517855,3070418.311553028,355.7333258603245,165523.74855715843,37972.02772802021,3074005.941146839,359.0399633616156,0.044251313,0.6676799145483264,-8688809.147,-0.269238302,0.00825719,15.08836383537593,0.014287008224051769,1.3029135388480442
geo-4f983ee6-6c4e-4fe1-89a7-d9bffda334bf,8.7872,29.7827,1.3096,252.7305,5.6255,-3.7203,-3.0598,2.5281,0,238415.9958176196,2975562.022016992,-613.0119705,200421.6621383426,37994.33367927684,2981914.488378955,-612.5321638,0.048821642,0.6093207895664081,-9799480.597,-0.241922361,0.00778025,12.480546918895486,0.01344905,0.9751921975602307
geo-4fae33d3-a25a-4c47-9642-d0d50368be17,10.9273,32.4154,1.1241,256.9844,6.6477,-3.6605,-5.4347,2.6614,0,258824.41451262697,3082285.8766156994,67.87871572589154,220595.1756693505,38229.23884327658,3089312.9607726377,64.54669640158284,0.055743154,0.6638335687605661,-7650635.274,-0.238500217,0.008235114,11.908791071428569,0.012836767666896037,1.0063686950490605
geo-4fc90132-cc40-4372-ad99-70ee7b7e5423,7.6154,35.58,1.3705,257.1656,6.4724,-5.3467,-3.8271,3.4008,0,213304.0302171316,3185349.608703213,-90.92103564,174870.33401147815,38433.69620565252,3190935.3076295564,-88.89789486,0.042982336,0.6418714489149382,-11838457.92,-0.259943786,0.007744633,14.933377514999176,0.017220807979740654,1.184578279285625
geo-5000ace1-09ec-43f6-8b58-6fb7fc799c3e,10.9328,33.8234,1.0293,250.5325,7.9979,-5.4473,-7.0604,0.5187,0,102990.90766639324,2127038.7493611886,301.75038125022024,62751.44492437346,40239.462742020296,2127740.685,301.93149813658414,0.022786281,0.4705978693561666,-4003517.829,-0.134188167,0.0089046,20.65268476,0.006447905,1.669794678787078
geo-503fe62e-439d-46ea-b9e7-c692e4b658e3,10.811,36.3649,1.042,244.4687,7.3904,-3.3005,-2.1843,0.0696,0,150614.61130023847,2815954.7075614445,-251.6099901,111580.84174313051,39033.76955710894,2816456.7660218803,-252.2261089,0.033201481,0.6207489870375423,-9729776.416,-0.321173938,0.008606341,18.696424491964233,0.011345308222050465,2.4796679626899234
geo-504e64a1-b3fa-4100-a2f7-7707d586ab7a,10.8977,27.2122,1.2829,240.3931,8.6918,-6.7118,-2.4864,1.0139,0,196505.05231390748,2603297.67,81.94489744575496,158680.0993,37824.95304311788,2605784.6607788224,85.70127380211686,0.040527456,0.5369074826573653,-8683565.293,-0.243579335,0.007801026,13.247993570038235,0.008420041,1.3232529291164732
geo-5056bbfd-c820-4a90-a84b-0f6128fa5adf,7.5117,35.9989,1.0945,244.431,6.6112,-6.1302,-5.1712,3.841,0,165380.09421834935,2905207.247091592,-156.6272449,127434.76027964291,37945.33393870636,2907926.215,-154.6929593,0.035923226,0.6310579163997365,-7022195.584,-0.188670996,0.008242296,17.566849630983285,0.016875254,1.8753968051246241
geo-505a50ff-4067-4d69-a948-cb875362e87f,10.4853,31.0433,1.1977,245.523,6.0429,-4.8551,-4.547,0.4154,0,80183.68388867842,1764341.3057847868,-15.58083245,39685.24066231232,40498.44322636502,1764939.914572573,-15.48804199,0.016923879,0.3723887058220049,-6019917.197,-0.17666313,0.008547713,22.00374466,0.004209808,1.1120092855407882
geo-50764d9e-910c-4655-913b-29a9237626cf,10.329,29.2345,1.0305,250.6977,6.1247,-6.3821,-4.3588,0.7656,0,69531.55003984741,1251342.3204376923,188.46561077374915,29170.67075439737,40360.87929,1251865.599003482,188.1285137065604,0.015381422,0.276815701,-2634457.604,-0.087149532,0.008928385,17.99675571334983,0.00236142,1.1361120371896227
geo-50da3673-cc8f-4c97-8937-bd302c9c2e90,10.1097,32.2013,1.1184,248.0754,3.7438,-4.0482,-2.4573,2.8753,0,117384.64219490111,2474855.985603825,69.28532777314919,77652.98222074739,39731.65997415313,2476051.7798107136,67.77768585619933,0.025326869,0.5339740502623556,-6972963.786,-0.213423265,0.008572444,21.083303056754904,0.008977433,1.2089871555649758
geo-50f62a91-6b8b-414b-a1b2-d4c85abd7fd7,8.3482,30.6186,1.1895,250.7625,4.1617,-5.9711,-4.1268,1.9938,0,66847.99183087693,1102346.1183882826,-75.10547877,26572.51740437296,40275.47443,1102887.8362824153,-76.20095027,0.01414102,0.2331902318445085,-3251580.544,-0.085676001,0.008519827,16.490340071503965,0.002073376,1.138845320623035
geo-510ac0ff-88a0-4bae-a470-84ca44c8fd73,8.9625,28.0992,1.0344,244.639,3.0697,-5.7494,-5.3211,2.1313,0,62804.36948811932,481614.4033136899,54.62858194,23365.172274833178,39439.19721,482210.21956286585,52.04807715789261,0.013877701,0.1064209473617753,-273897.0182,-0.008415042,0.00871472,7.668485604410007,0.000402231,1.9678155787388814
geo-511187bd-72bc-42ff-b970-c9f9bec273a9,8.6734,29.0909,1.2002,245.7261,7.5523,-3.8115,-7.0356,2.8193,0,320937.9765448662,3171230.759865649,34.15810437635203,284375.8268156474,36562.14972921804,3181715.203063561,38.00167219657202,0.067691966,0.6688733087512517,-7988947.626,-0.212826308,0.007711617,9.881132778383828,0.016419067315055918,1.4110166654428606
geo-512541fd-00d5-4f9e-8a56-5052f7524b35,9.8708,36.7747,1.2539,240.7843,7.4965,-3.1787,-3.9911,3.3089,0,406788.0798144165,3430181.296459685,5.899552819688907,371675.5846868913,35112.49513,3446385.5948837227,3.0340065898589046,0.084536581,0.7128424158216131,-9877836.382,-0.265205629,0.007298369,8.432354502680075,0.016386448658223682,2.5758060074322917
geo-5136c155-8239-481e-886f-65e83252fa31,9.8924,30.3339,1.1288,240.1173,4.9873,-3.586,-4.8191,3.7108,0,248533.79520819228,2989045.998098701,138.4305766058282,211476.7153323689,37057.079875824034,2996613.0181577946,134.63022615942828,0.053456481,0.6429060552907545,-6822526.716,-0.201639975,0.007972119,12.02671852169975,0.013299750414750377,1.0662578006769385
geo-515bfd25-669c-401e-b2e7-ffbfed7f639b,8.4823,27.8379,1.2787,250.1779,6.615,-4.6815,-2.5287,3.2826,0,320530.5167005255,3158394.007903927,-73.16686746,283828.90437991696,36701.61232060929,3170001.418311785,-72.53428316,0.066167464,0.6519907143666684,-9092164.933,-0.22209513,0.007577884,9.853645264,0.015952153500740206,1.363405398518067
geo-51699942-9339-453c-a1f0-0e7c76ebe35f,10.4797,26.1316,1.3825,240.7692,4.4534,-3.1147,-3.3555,1.3615,0,153775.40453404185,2322200.634,984.7058486152846,115085.26155327764,38690.14298076414,2324374.1842051107,989.2222908,0.030889752,0.466473834,-8112127.754,-0.207090892,0.007771871,15.10124874053874,0.006609306,0.8993560885074009
geo-517dcfea-4f99-45a4-865f-d5496fa4cc85,7.8433,25.8903,1.3831,249.9667,6.2546,-5.2296,-2.9302,3.544,0,284249.97070696705,2950656.122474715,-93.25069451,247967.8119534448,36282.158753522446,2961057.600830512,-93.7609375,0.057078158,0.5924996806751354,-8771226.525,-0.190516404,0.007287026,10.380497542835435,0.014247135,0.9616685842561337
geo-51be0d3a-6da6-4f6e-a114-183c7a89b663,7.9261,35.2928,1.2107,252.214,5.5544,-3.679,-1.5816,3.6634,0,311106.6181933417,3369428.0754835457,-37.88664957,274128.3357075212,36978.282485820295,3380802.5924307816,-37.31371403,0.065429923,0.7086362217298243,-9791476.104,-0.247377469,0.007776991,10.83046093667336,0.020166813163665993,1.3468234098838423
geo-51ca2280-456c-49fa-8d9b-07d23128b77f,8.4274,37.259,1.3063,248.8939,4.4695,-5.842,-3.6593,2.8213,0,81018.64295951331,1751190.0628837338,64.38273121,40502.424713120105,40516.21824639331,1751673.4377041708,61.59891554615045,0.016601746,0.3588410234837836,-6379277.309,-0.152127721,0.008303963,21.61465557697442,0.004863632,0.9001687969714199
geo-520c4ace-ecbf-4203-909f-f3bedfff9ac3,8.8002,29.0254,1.2045,240.8866,3.2706,-4.36,-1.8137,2.2551,0,91115.37118519549,1881679.5531334544,-156.626327,51621.22437750556,39494.146807689365,1882687.0931983704,-161.1507082,0.019191363,0.3963326430531152,-6213998.166,-0.16353347,0.008320216,20.651614855509727,0.005681687,0.8423072320365348
geo-5211a2f8-a3b8-4d30-8c86-b2a082e5f968,10.3889,26.3657,1.2154,246.5525,5.6977,-5.9609,-4.6136,1.8909,0,114262.69421518032,1826180.4510144773,5.406455541095994,75250.90988906787,39011.78432611327,1827681.1921536727,4.3129779185362125,0.024000139,0.3835773837826108,-4904123.901,-0.141345168,0.00819413,15.982298190653582,0.004508027,0.5474311719330407
geo-52151eb7-13cb-49e5-85c6-c7c998aca5ee,10.4021,33.9792,1.2578,248.2719,7.6621,-4.3952,-4.9198,2.2422,0,256610.81651948887,3157674.724294463,157.25077875377588,218988.2801114492,37622.53640803944,3164082.603124708,156.13086613761996,0.05327137,0.6555205353306087,-10458031.64,-0.287392544,0.007811864,12.305306405720625,0.013149272,1.7318901647880471
geo-523f365a-9343-4c88-820e-85cef5efaf8e,10.0186,31.3237,1.1565,252.0975,8.7363,-4.5542,-5.8337,3.4098,0,419898.6764107183,3439558.124453286,-92.81256173,383935.6423417875,35963.034068930574,3456551.4942196324,-93.08480969,0.089620453,0.7341169977612121,-7567765.26,-0.220392232,0.007677267,8.191400253638648,0.017122755,2.500354977406467
geo-5267590d-7011-40c7-bf90-bcd24849f97d,10.6187,35.5398,1.1727,248.7748,3.9417,-6.3904,-7.4406,3.1054,0,71595.75161,1110515.5407624796,200.75888834056377,30785.22830905049,40810.52329794142,1110872.128982026,202.9235406083729,0.015212523,0.2359601407931916,-242838.9799,-0.007191672,0.00867309,15.510913927664097,0.001668999,2.468754937
geo-5284e4d4-8cef-4f40-ad6f-65bc2095f9e0,10.1506,26.3408,1.0177,255.4665,7.9969,-3.2141,-2.2334,0.8941,0,331345.35244972195,3070624.2726483266,224.3926547125756,293804.8468349789,37540.50561474328,3074866.5068236813,224.81797821133927,0.073569442,0.6817784268965655,-5743834.353,-0.190207031,0.008335169,9.267141518498464,0.01457622,1.8256658562988994
geo-52bdd797-43d3-4de8-b69b-8ab3895a9f62,10.3121,30.7478,1.2631,249.361,8.1348,-5.3205,-5.1757,0.7825,0,161635.88207998508,2637574.722814703,904.6428268460312,122672.11736444032,38963.76471554464,2639155.128203258,908.6828141,0.033513951,0.5468807383487979,-9263662.289,-0.256577141,0.008078793,16.318002468718614,0.00923184,1.4834831109091582
geo-52daa8ce-8c63-4dfe-b9fa-5a784d05db3d,10.2334,35.8427,1.3467,241.5505,4.8225,-3.175,-1.9115,2.3763,0,182238.03581486217,3109157.2209038003,161.61261157265548,143562.04682322862,38675.98899163323,3112937.802777016,164.05588032858188,0.036952752,0.6304497107374085,-13065370.38,-0.33852795,0.007842362,17.060967580129322,0.012363205180296289,2.813022126971077
geo-532f717f-2e55-4dd4-876b-4819084833b9,7.6462,26.0484,1.2878,243.2015,3.7317,-6.2522,-2.1458,3.5702,0,115847.15579910293,2087522.5608730104,-80.39603227,76736.13686783619,39111.01893126662,2088975.160594456,-81.63714647,0.023856169,0.4298792802560796,-5675854.146,-0.130734627,0.008055679,18.01962721029692,0.007693031,1.1642078288148483
geo-53338ddb-2a67-4023-a49e-5ee9bde18995,9.5712,26.513,1.3755,247.9244,6.5228,-5.6974,-4.8208,3.4564,0,253545.5948895484,2836039.475392953,0.801847881,216302.90963362693,37242.685255921526,2844336.182785654,5.105886195684661,0.051013891,0.5706169266984327,-7930965.975,-0.191378106,0.007494817,11.18552060282654,0.010828618081114138,0.6738411823841793
geo-5333e610-8f93-4a9b-a4d4-072459794bf8,7.6136,36.4575,1.1825,243.5925,5.8471,-5.922,-5.0404,2.8289,0,102170.2914632859,2230261.5194335454,-140.0003384,62867.67746594351,39302.61399734257,2231476.853918813,-139.7318037,0.021654793,0.4726995648824905,-6721425.885,-0.170033098,0.008330068,21.828865196444752,0.009341798,1.1665183017412062
geo-534bc413-3f39-489c-9e5b-aa69d0bacc4c,7.9839,37.3419,1.1054,244.3086,8.1866,-3.3543,-4.0699,1.1874,0,248292.67019635756,3207965.457663505,183.2084402813923,211150.99587699855,37141.67431935844,3212203.279,184.63710675894865,0.053767642,0.6946831612691181,-9709921.39,-0.26673463,0.008042967,12.920097299394925,0.019240155712937565,1.2330245986827835
geo-53522813-e685-4bd2-b3d4-291cca072be0,10.9311,29.0902,1.3379,249.9776,3.2699,-4.8449,-4.4465,0.9366,0,65907.97107508588,438445.33416441904,-59.16051477,24879.134812724584,41028.836262360666,438771.0472784772,-62.45263694,0.013395365,0.089111156,-1485657.732,-0.040047498,0.0083388,6.652387063545358,0.000231233,1.9386079436907557
geo-5395cc70-b269-4a32-b07e-3c248d89b7d6,8.3553,28.7478,1.3984,255.7976,6.3791,-4.1372,-4.1451,1.8608,0,209725.4400379873,2793220.867924688,548.0140425,171498.28159805192,38227.15843993611,2797783.7899625967,551.8140306318921,0.041954517,0.5587697467834805,-9977429.429,-0.224756128,0.00764711,13.318464690877496,0.011894709717649436,0.758105618
geo-53afa2b7-c504-429f-9a8e-a3e0c77cd37f,8.0645,26.0004,1.1308,248.1659,8.9972,-3.2192,-3.0033,3.424,0,606907.2854496108,3772626.7159169135,105.08274116762692,572827.4216415674,34079.86380804375,3800709.334,99.74344693921948,0.1304921317825044,0.8111586635756419,-7314067.165,-0.19806231,0.007327529,6.2161499892394065,0.025970739,4.8219378919145806
geo-53df79ac-2b6b-471f-87ab-d9919e980211,10.9983,27.1232,1.1099,247.0892,5.761,-4.2136,-3.7962,0.4536,0,107860.56054583772,2020828.2215559187,202.5777189032758,68065.88572954423,39794.67481629415,2021370.9735975624,204.5507097650109,0.023327586,0.4370554393314798,-5926323.642,-0.190421226,0.008606564,18.735562019419707,0.005528377,0.876728093
geo-5449d391-d853-4318-a492-7fa7c1f0a8c4,10.2572,34.6101,1.2712,248.5378,3.7513,-3.0628,-1.6717,2.5049,0,140220.14194179306,2784476.1779903616,4.098079962659696,100371.77173692052,39848.370204873005,2786716.4565204326,1.6224164088248187,0.029010209,0.5760815445422839,-11196437.74,-0.307397884,0.008244204,19.85789016777798,0.010298861748533334,2.4498716319993408
geo-54525296-f30f-4b4b-bee6-5f869a1bfeed,10.4144,30.6457,1.0545,251.2424,3.4489,-6.4389,-3.7162,1.5584,0,61637.43421692732,165186.25803295232,50.32050470010829,21299.59617808973,40337.83803883722,165643.35643437025,50.83394634929704,0.013538834,0.036283622,75601.42875333727,0.002426134,0.008862108,2.6799664867877846,4.023807097444427e-05,2.2954038342391483
geo-5481604d-a210-4f9d-90f6-7e548556a9df,9.6494,36.2613,1.1171,246.1458,4.4985,-3.7456,-4.776,3.4062,0,144166.3965177831,2836918.829150653,-55.36194479,105051.12600667772,39115.27051110668,2838689.721111176,-57.08157888,0.031110194,0.6121890913713489,-7796830.666,-0.229624644,0.008442532,19.678086556049205,0.012362918059911084,1.4398967354161103
geo-5490f936-8da9-4c92-804e-c0d4b06e315a,10.0134,36.2081,1.0208,246.5074,4.6203,-5.2911,-7.3876,1.7013,0,65529.67082313418,989797.5310730528,-63.18111753,25278.84449014563,40250.82633,990292.7522238912,-61.37604501,0.014536707,0.2195707162013405,-372903.8801,-0.012236049,0.008928954,15.104570473801632,0.00153256,2.248206770187697
geo-5492cf1e-4a1f-4ff1-a741-41ff320d561b,8.8077,34.2109,1.3994,242.5352,7.2028,-6.8447,-6.3492,2.0178,0,105635.66520041689,2295211.543208949,-44.33082601,65548.89029451297,40086.77490590335,2296894.805844748,-44.07446311,0.021126387,0.4590260906502184,-7600074.681,-0.175645935,0.008017029,21.727619538859024,0.007614868,1.0307024498833064
geo-549b2b91-bf81-4562-aabc-d3c708e49ada,8.2598,25.8088,1.3445,240.8554,4.138,-5.4092,-5.2901,2.7576,0,105755.11420997816,1925029.896552024,-92.98453483,66473.63074138499,39281.48346859327,1926597.8537266776,-92.59690574,0.021452167,0.3904876208229795,-5188080.385,-0.119023982,0.007969762,18.20271209513205,0.005876181,1.1155240796054726
geo-54b1e977-b1ad-4b83-ba2b-4d9a8b2aa4ac,7.5543,27.6055,1.3266,240.9731,4.5545,-6.8904,-5.3426,2.4203,0,72547.81997540932,1084171.223611632,-27.14712639,33322.76369416758,39225.05628124267,1085019.4651717893,-28.61133118,0.014785974,0.2209649741117425,-3017064.899,-0.067088895,0.007996074,14.944228840771938,0.002057324,1.2782472545360468
geo-54b86ac9-becb-4689-92ff-c6041b10981f,10.9851,32.9706,1.2993,247.6587,6.504,-5.6682,-3.2734,3.9434,0,267402.5606946111,3178066.7121628453,-79.16128066,229948.4312351122,37454.12945949918,3186645.981754391,-81.36836012,0.054896584,0.6524432865161978,-9982444.343,-0.273221893,0.007690723,11.884952424940982,0.012334786760220325,1.5082820591776913
geo-54bcacc4-9fac-4414-b8ce-282749261f8f,7.8781,26.656,1.2108,244.4266,3.8491,-5.7462,-3.7346,2.2859,0,76957.85580418333,1340796.947549147,107.79005806566722,37554.43824763453,39403.41755654898,1341603.8902017702,105.92694311112638,0.016181481,0.2819215815852547,-3899251.232,-0.096628725,0.0082868,17.422483170019184,0.003211333,1.008513884
geo-54dbb3b2-bc8c-4b43-81cc-a25f8146d496,9.6072,26.5427,1.3551,245.154,3.4056,-3.2026,-2.3998,0.0133,0,73255.70774833769,1049079.5126224428,72.62869656174175,32975.629498822185,40280.07824951612,1049140.9807902533,75.26121722714834,0.014818302,0.212209776,-5407088.177,-0.132727435,0.008149575,14.32078871214299,0.001492052,1.7629068927437608
geo-552ffabe-9f46-4fc8-975a-93f8b3c26537,10.4064,34.7458,1.3625,248.3446,8.3943,-4.5636,-1.8782,1.0463,0,259786.8300594225,3277849.6113173994,392.4358346,221875.7195487464,37911.11051067648,3281769.429983244,390.3195064815643,0.052458927,0.6618983471505862,-12798503.41,-0.330477191,0.007655375,12.617458747110595,0.013400845656552671,2.6495379543060555
geo-5532ba6c-f403-4e15-bde1-0c7e4d0f53d5,10.8511,32.2085,1.09,252.3274,4.0161,-5.2809,-2.9504,1.0446,0,61024.9818,807818.1755395867,135.48939682365062,20068.523972471405,40956.45782744892,808121.3193,134.76740098745609,0.013272481,0.1756944617245185,-2690980.822,-0.087196677,0.008907679,13.237499655274588,0.000905508,1.4739153435989516
geo-5550cf26-3e82-4b09-a19b-bb928cfe6eca,10.8239,37.0872,1.3323,252.2894,4.9236,-5.1907,-3.8127,0.4086,0,61791.11793176605,878669.6056747908,63.32911873636443,20104.680285282637,41686.43765,878902.4237481296,64.19964858639041,0.012574651,0.1788115132685765,-4262916.085,-0.112982472,0.00848501,14.219998522199981,0.00094028,1.7483111267765445
geo-55667487-22b6-44cc-8168-486249fa69c4,10.5537,27.2136,1.2474,242.2747,7.8199,-6.0695,-4.7271,1.7888,0,197223.6402114833,2579592.321517546,106.84215430814288,159407.89535316266,37815.74485832072,2583371.2347099097,106.9775902661747,0.041058122,0.5370208977691397,-7484238.152,-0.208799044,0.007874091,13.079528999421385,0.008698167,0.5351886061127592
geo-5580ec79-07f2-4218-899a-8b8aebf65a1e,8.1935,36.0986,1.1918,244.0696,8.8274,-4.5117,-3.851,0.9402,0,224691.0178570492,3183971.693216354,-46.52980513,186932.5756494659,37758.44220758327,3187172.575,-45.32669556,0.047501072,0.6731113306802747,-11380534.96,-0.296556369,0.007982326,14.170444922912024,0.017601694205142772,1.7136257237837387
geo-559e23f7-45f9-4138-9bf8-2802365d1c26,8.9888,35.0279,1.3993,250.1545,4.8826,-3.8639,-2.6928,3.8858,0,255982.85701901175,3291737.595080515,520.6208210385761,218289.3505227641,37693.506496247486,3299603.831778096,524.1667073924059,0.051185489,0.658205012,-11564995.31,-0.2656945,0.007538591,12.859211094890032,0.015341604375483715,1.2426218091271102
geo-55a62968-5dfb-4ace-bc7f-a0ccdc53d7c7,10.8161,33.7749,1.0551,240.1601,7.0973,-5.332,-4.2282,0.4756,0,87562.81779342993,2000192.924,-272.636645,47827.63039137653,39735.187402052885,2000870.881321229,-274.2677202,0.019234105,0.4393636711496811,-5274129.042,-0.175222605,0.008728211,22.842948351600157,0.005681038,1.0302596074533104
geo-55a72462-d27f-4a6a-9722-558f2388961e,9.7938,30.0528,1.0554,252.7809,7.5665,-3.4946,-1.5409,0.369,0,238260.5444385832,2995575.6071691127,1435.7640256722857,199838.3535230216,38422.19091556282,2997018.176,1436.8539968691016,0.052331981,0.6579536959167464,-7930182.389,-0.250647591,0.008439076,12.57268850042971,0.014069852933252252,1.0469071953284097
geo-55f7e98f-225e-4655-bce1-0797933de1ac,8.7185,34.2537,1.1004,247.6454,7.8638,-4.7381,-2.7199,2.5157,0,284945.4018448908,3178932.921560584,-655.9485705,248455.73922699015,36489.66261790185,3187123.2391818184,-645.3842762,0.061791768,0.6893667526746443,-7845819.809,-0.226084018,0.007912916,11.156287839629767,0.017350381303556393,1.207721818597802
geo-561070af-655a-4ef5-a317-e663de85ed19,7.7167,35.168,1.0395,241.0762,3.6851,-4.5851,-2.2937,2.6466,0,83294.57227,1779037.7623193606,68.91805884670406,44137.67393379429,39156.89834014315,1779716.0195581338,68.30152897048193,0.018374624,0.3924523328155698,-4780836.072,-0.13358309,0.008639681,21.358387632612285,0.006353197,1.0793091646716244
geo-562209c1-76b3-42a8-afc2-07593c22f8c7,7.543,25.5372,1.3146,249.2877,6.6692,-4.2511,-2.0754,0.6923,0,183507.8819334062,2476794.845139064,-76.82103456,145505.76329447218,38002.11863893333,2478796.348424038,-80.25262629,0.037527868,0.506511377,-9031415.437,-0.205799351,0.007771497,13.49693985372178,0.010826408972846414,0.6024718823860885
geo-566c500f-9c52-444f-987f-d885e11814ec,8.3129,26.0289,1.0686,244.7721,8.55,-6.7328,-2.589,2.5572,0,267036.4456380735,2825941.842128016,-72.96082212,230366.4326611045,36670.01297696896,2833629.4810101143,-70.16125865,0.058432085,0.6183638078612645,-5866496.784,-0.169118347,0.008023976,10.582607311805479,0.014641504216197398,1.4027490729384284
geo-568f98f4-9fcf-40fa-a88b-ed64ad03c03a,9.6401,30.7166,1.2007,250.1147,3.4405,-4.8316,-5.6477,2.4221,0,73152.24354611467,1387617.3411683822,-82.14960296,32540.03942463301,40612.20412148133,1388086.2326022228,-82.58402504,0.015423898,0.2925743293832165,-3193015.966,-0.088202956,0.008564672,18.968896562873507,0.002826448,1.1972292440543768
